1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-2*kh1-v,kh1,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh1+v,-2*kh1-kh2-v,kh1,,,,kh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kh1+v,-2*kh1-kh2-v,kh1,,,,kh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,kh1+v,-2*kh1-kh2-v,kh1,,,,kh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,kh1+v,-2*kh1-v,,,,,kh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh1,,,,,-2*kh1-kh2-v,,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kh2,,,,kh2,-2*kh1-2*kh3-v,kh1,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,kh2,,,,kh1+v,-2*kh1-kh2-kh3-v,kh1,,,,kh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,kh2,,,,kh1+v,-2*kh1-2*kh3-v,kh2,,,,kh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,kh1+v,,,,,-2*kh1-kh2-v,,,,,kh1,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kh1,,,,,-2*kh1-kh2-v,,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kh1,,,,kh2,-2*kh1-kh2-kh3-v,kh3,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kh2,,,,kh2,-2*kh2-4*kh3,kh2,,,,kh2,,,,,,,,,,,,,,,,,,,,2*kh3,,,,,,,,,,,,
,,,,,,,,kh1+v,,,,kh3,-2*kh1-kh2-kh3-v,kh2,,,,kh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,kh1+v,,,,,-2*kh1-kh2-v,,,,,kh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,kh1,,,,,-2*kh1-kh2-v,,,,,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kh1,,,,kh2,-2*kh1-2*kh3-v,kh1+v,,,,kh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kh3,,,,kh1,-2*kh1-kh2-kh3-v,kh1+v,,,,kh2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,kh1+v,,,,kh1,-2*kh1-2*kh3-v,kh2,,,,kh2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kh1+v,,,,,-2*kh1-kh2-v,,,,,kh1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,kh1,,,,,-2*kh1-v,kh1+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
